,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,drafted or no,drafted_top10,Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
0,Blake Griffin,2009,1.0,204.47,208.28,211.455,266.7,90.17,356.87,81.28,347.98,112.490816,8.2,22.0,10.95,3.28,1,1,0.8801212796630973,0.9493582579168901,0.1910788734987883,0.35243208147750993,0.1147890209021026,0.574924327665424,0.8529916211320397,0.9999784600779594,1.3463830134036365,0.40130218585814265,3.2466144709934452,-0.7081650501537353,-0.14214605678035735
1,Terrence Williams,2009,11.0,195.58,198.755,205.74,262.89,93.98,356.87,77.47,340.36,96.615096,5.1,9.0,11.15,3.18,1,0,-0.18550565613506328,-0.1972346855725306,-0.380095479828897,0.04585767969869911,0.5666615371944225,0.574924327665424,0.3256938912094343,0.30711869167007205,-0.07431271086022694,-0.8529236590616011,-0.30952892202268034,-0.32498251693260094,-0.9801108384843825
2,Gerald Henderson,2009,12.0,193.04,195.58,208.915,260.35,88.9,349.25,80.01,340.36,97.52228,4.4,8.0,11.17,3.14,1,0,-0.48997049493454065,-0.5794323334023352,-0.0627763946468515,-0.15852525482050506,-0.03583515119533677,-0.17820711845708417,0.6772257111578386,0.30711869167007205,0.006869901954851058,-1.1361359466241236,-0.5830784137931515,-0.2866642636104885,-1.315296751165994
3,Tyler Hansbrough,2009,13.0,203.835,207.01,212.09,269.24,86.36,355.6,69.85,339.09000000000003,106.140528,8.5,18.0,11.12,3.27,1,0,0.8040050699632296,0.7964791987849662,0.25454269053519685,0.5568150159967187,-0.3370834953902172,0.4494024199783412,-0.7289015686357765,0.19164206360209254,0.7781047236980919,0.5226788805277955,2.15241650391156,-0.382459896915773,-0.2259425349507584
4,Earl Clark,2009,14.0,204.47,208.915,219.71,278.13,83.82000000000001,361.95,72.39,350.52,103.418976,5.2,5.0,11.17,3.35,1,0,0.8801212796630973,1.0257977874828503,1.0161084949721106,1.2721552868139423,-0.638331839585096,1.077011958413761,-0.3773697486873722,1.2309317162139184,0.5345568852528579,-0.8124647608383833,-1.4037268891045651,-0.2866642636104885,0.44442929041246476
5,Austin Daye,2009,15.0,207.645,210.185,220.345,279.4,71.12,350.52,63.5,342.9,87.089664,5.5,10.0,12.11,3.55,1,0,1.2607023281624423,1.1786768466147741,1.079572312008519,1.3743467540735443,-2.1445735605594947,-0.05268521077000135,-1.6077311185067842,0.5380719478060311,-0.9267301454185446,-0.6910880661687308,-0.03597943025220917,1.5142936425288325,2.1203588538205187
6,James Johnson,2009,16.0,200.66,202.565,215.26500000000001,267.97,88.9,356.87,77.47,345.44,116.573144,12.0,18.0,11.21,3.23,1,0,0.42342402146388464,0.26140249182323766,0.5718617757172452,0.4546235487371166,-0.03583515119533677,0.574924327665424,0.3256938912094343,0.7690252039419953,1.7117047710714877,1.9387403183404097,2.15241650391156,-0.2100277569662603,-0.5611284476323699
7,Jrue Holiday,2009,17.0,191.135,193.675,200.66,255.27,86.36,341.63,72.39,327.66,90.264808,6.3,6.0,10.64,3.21,1,0,-0.7183191240341469,-0.8087509221002194,-0.8878060161201737,-0.5672911238589202,-0.3370834953902172,-0.9313385645795924,-0.3773697486873722,-0.8476475890097385,-0.6425910005657716,-0.3674168803829905,-1.1301773973340938,-1.302097976646488,-0.7287214039731758
8,Ty Lawson,2009,18.0,180.975,184.15,184.785,240.03,92.71000000000001,332.74,73.66,313.69,89.357624,6.6,14.0,10.98,3.12,1,0,-1.9361784792320462,-1.95534386558964,-2.47440144203041,-1.7935887309741634,0.416037365096983,-1.8099919183891835,-0.20160383871317106,-2.117890497757534,-0.7237736133808496,-0.2460401857133379,1.0582185368296755,-0.6506876701705633,-1.4828897075068
9,Jeff Teague,2009,19.0,183.51500000000001,186.69,201.93,250.19,92.71000000000001,342.9,77.47,327.66,79.3786,4.5,13.0,11.05,3.18,1,0,-1.6317136404325687,-1.6495857473257955,-0.7608783820473539,-0.9760569928973354,0.416037365096983,-0.8058166568925096,0.3256938912094343,-0.8476475890097385,-1.6167823543467061,-1.0956770484009062,0.7846690450592044,-0.5165737835431664,-0.9801108384843825
