Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
0.88012128,0.949358258,0.191078873,0.352432081,0.114789021,0.574924328,0.852991621,0.99997846,1.346383013,0.401302186,3.246614471,-0.70816505,-0.142146057
-0.185505656,-0.197234686,-0.38009548,0.04585768,0.566661537,0.574924328,0.325693891,0.307118692,-0.074312711,-0.852923659,-0.309528922,-0.324982517,-0.980110838
-0.489970495,-0.579432333,-0.062776395,-0.158525255,-0.035835151,-0.178207118,0.677225711,0.307118692,0.006869902,-1.136135947,-0.583078414,-0.286664264,-1.315296751
0.80400507,0.796479199,0.254542691,0.556815016,-0.337083495,0.44940242,-0.728901569,0.191642064,0.778104724,0.522678881,2.152416504,-0.382459897,-0.225942535
0.88012128,1.025797787,1.016108495,1.272155287,-0.63833184,1.077011958,-0.377369749,1.230931716,0.534556885,-0.812464761,-1.403726889,-0.286664264,0.44442929
1.260702328,1.178676847,1.079572312,1.374346754,-2.144573561,-0.052685211,-1.607731119,0.538071948,-0.926730145,-0.691088066,-0.03597943,1.514293643,2.120358854
0.423424021,0.261402492,0.571861776,0.454623549,-0.035835151,0.574924328,0.325693891,0.769025204,1.711704771,1.938740318,2.152416504,-0.210027757,-0.561128448
-0.718319124,-0.808750922,-0.887806016,-0.567291124,-0.337083495,-0.931338565,-0.377369749,-0.847647589,-0.642591001,-0.36741688,-1.130177397,-1.302097977,-0.728721404
-1.936178479,-1.955343866,-2.474401442,-1.793588731,0.416037365,-1.809991918,-0.201603839,-2.117890498,-0.723773613,-0.246040186,1.058218537,-0.65068767,-1.482889708
-1.63171364,-1.649585747,-0.760878382,-0.976056993,0.416037365,-0.805816657,0.325693891,-0.847647589,-1.616782354,-1.095677048,0.784669045,-0.516573784,-0.980110838
2.326329264,2.32526979,1.968065751,1.987495558,-0.035835151,0.072836697,-0.025837929,0.076165436,2.117617835,-0.205581287,-0.03597943,-0.123811687,-0.142146057
-1.022783963,-1.11450904,-2.030154723,-1.282631395,-1.090204356,-2.437601457,-0.377369749,-1.655983985,-2.063286725,-0.731546964,-0.583078414,-1.033870203,-0.89631436
-1.63171364,-1.649585747,-1.903227089,-1.384822862,-0.487707667,-2.061035734,0.325693891,-1.309554101,-1.982104112,-0.61017027,-0.309528922,-1.666121383,-1.650482664
0.651772651,0.720039669,-0.316631663,0.659006483,-0.788956012,0.198358605,-1.431965209,-0.154787821,-0.155495324,0.563137779,-2.224375364,-0.324982517,-0.142146057
1.869632006,1.943072142,0.762253227,1.578729689,-0.788956012,1.328055774,-0.377369749,1.5773616,1.752296077,0.522678881,-0.03597943,-0.42077815,1.282394072
0.195075392,0.184962962,0.571861776,0.556815016,0.566661537,1.202533866,0.149927981,0.769025204,0.37219166,0.401302186,1.058218537,-0.171709504,-1.734279142
-1.327248802,-1.420267159,-0.189704029,-0.669482591,1.169158226,0.198358605,-0.025837929,-0.732170961,-1.332643209,0.279925491,-1.950825873,-1.589484877,-1.231500273
0.88012128,0.872918728,1.396891397,1.16996382,-1.542076872,0.198358605,-1.431965209,0.42259532,-0.033721404,-0.246040186,0.511119553,0.460541676,0.947208159
0.195075392,0.261402492,-0.126240212,0.352432081,-0.035835151,0.072836697,-0.025837929,0.076165436,-0.317860549,-0.36741688,-0.03597943,-0.123811687,-0.142146057
